index,sat,system,nav_epoch,pos_dx,pos_dy,pos_dz,vel_dx,vel_dy,vel_dz,pos_norm,vel_norm
0,G02,GPS,2025   1            300 GPS ,0.027766816318,0.445530388504,-0.845220200717,-0.004930680068,-0.025257870778,0.009498449849,0.955858520321,0.027431591126
1,G03,GPS,2025   1            300 GPS ,-1.191646672785,0.888411595486,-0.291154235601,0.011043031198,-0.061437709403,-0.046419773641,1.514618019391,0.077790333973
2,G04,GPS,2025   1            300 GPS ,-1.620984759182,0.412024646037,1.058078755625,-0.036184673709,-0.093591139483,-0.123207434403,1.979112566669,0.158898407460
3,G05,GPS,2025   1            300 GPS ,1.041969109327,-0.208385671489,0.504746463150,-0.002051028982,0.003323136632,0.000538188467,1.176389903448,0.003942030415
4,G06,GPS,2025   1            300 GPS ,-0.030287342146,1.317330390215,-0.497594315559,-0.126255544479,-0.016441129530,-0.172162358176,1.408501609142,0.214127650771
5,G07,GPS,2025   1            300 GPS ,-0.909319916740,1.025072462857,-0.181782711297,-0.042139302102,-0.067200947372,0.021663214965,1.382273930599,0.082225196819
6,G08,GPS,2025   1            300 GPS ,-1.758634965867,0.804362651892,-1.111804021522,0.044442203906,-0.091139777106,0.134219662341,2.230673530843,0.168215594455
7,G09,GPS,2025   1            300 GPS ,-0.814912680537,0.700473879464,0.696918038651,-0.085738070836,-0.071187979659,-0.084711954723,1.280797050788,0.139981643481
8,G10,GPS,2025   1            300 GPS ,0.048668193631,-1.245151598006,-1.228154037148,0.121889501527,-0.024918857176,0.118810776627,1.749609509020,0.172029069253
9,G11,GPS,2025   1            300 GPS ,0.325464226305,2.342068538070,-0.717207099311,-0.080050007164,0.085169235245,-0.148653373516,2.470950833773,0.189102162168
10,G12,GPS,2025   1            300 GPS ,1.106298502535,-1.416060780641,0.333339720964,-0.030707262445,0.090485726908,-0.056586857090,1.827632315525,0.111052578252
11,G13,GPS,2025   1            300 GPS ,1.688540834934,0.582636337727,-0.533046718687,-0.060795471125,0.033510763885,0.073716850451,1.864074584769,0.101258257174
12,G14,GPS,2025   1            300 GPS ,-0.119920587167,1.968729093671,-0.654006738216,-0.125692231072,-0.007216889642,0.138734673873,2.077979789393,0.187344415937
13,G15,GPS,2025   1            300 GPS ,0.604370471090,0.339366742410,-0.353775120340,-0.030650025636,0.086817022740,0.118385642787,0.778196818261,0.149972597254
14,G16,GPS,2025   1            300 GPS ,-1.232986582443,0.374709336087,1.430005457252,0.043259561923,-0.040900913912,-0.003678021478,1.924987949782,0.059647315938
15,G17,GPS,2025   1            300 GPS ,-1.406229505315,0.112414069474,-0.381073191762,-0.048780577687,-0.013909818298,0.004469558589,1.461278591547,0.050921554951
16,G18,GPS,2025   1            300 GPS ,2.146162206307,-0.761273285374,1.294443175197,0.043500268848,0.062346059952,0.029096212112,2.619376331232,0.081399595458
17,G19,GPS,2025   1            300 GPS ,0.332746571861,0.552055664361,-0.106794957072,-0.092828562830,-0.003063866806,-0.030519571163,0.653368885465,0.097764889305
18,G20,GPS,2025   1            300 GPS ,-0.122292058542,1.970951795578,0.103951767087,-0.057657078970,0.055770095106,-0.033834529202,1.977476244599,0.087059850849
19,G21,GPS,2025   1            300 GPS ,-0.718574114144,0.114221349359,-1.419440152124,0.001929374533,-0.059366138421,0.040124093628,1.595056619568,0.071679870023
20,G23,GPS,2025   1            300 GPS ,1.659301947802,-1.371603425592,0.100976594724,0.086029198298,0.083477194850,0.178564413145,2.155174049528,0.215069092762
21,G24,GPS,2025   1            300 GPS ,0.637841336429,0.247364086099,-1.557076726109,0.010782927062,0.101103876163,0.048423992753,1.700740571792,0.112619484839
22,G25,GPS,2025   1            300 GPS ,0.478770673275,-1.710343547165,-0.415056306869,0.041164036656,0.117436402138,-0.145947681821,1.823943021256,0.191798102936
23,G26,GPS,2025   1            300 GPS ,-0.860763923731,-0.908602952957,1.425867695361,0.098960360948,-0.061973518500,-0.063155189577,1.897253947998,0.132749568756
24,G27,GPS,2025   1            300 GPS ,-0.877187050879,-0.950639402494,0.577923532575,0.100566878391,-0.049341162503,0.090943752583,1.416745568304,0.144287953345
25,G28,GPS,2025   1            300 GPS ,-0.405712300912,-2.002481088042,-0.031104058027,0.110685641862,0.022512410120,-0.134037680567,2.043404130735,0.175283255719
26,G29,GPS,2025   1            300 GPS ,1.043257482350,0.641144249588,-0.304784959182,0.043602102410,0.042078957997,-0.045046367296,1.261881925777,0.075504683611
